Rodada,Pos.,Nome,UF
Rodada 1,1,Thomas Marcelo,GO
Rodada 1,2,Arthur Hupfer Werlang,PR
Rodada 1,3,Bruno Mérola,RJ
Rodada 1,4,Mauro Francisco Furlan,SP
Rodada 1,5,Fábio de Carvalho Gatti,SP
Rodada 1,6,Diego Cezar Ruvieri,SP
Rodada 1,7,Rafael Neder Cerezetti,SP
Rodada 1,8,Jardiel Euflázio,PB
Rodada 1,9,Washington Augusto Demicheli Junior,MG
Rodada 1,10,Juan Rodrigo Harbar Penas,PR
Rodada 1,11,Fredson Alves,GO
Rodada 1,12,Guilherme Bodra,SP
Rodada 1,13,André da Silva Gonçalves,SP
Rodada 1,14,Juliano Neves,SP
Rodada 1,15,Rafael Volner,SP
Rodada 1,16,Samir Rodrigues Vieira,SP
Rodada 1,17,Caio Carabolante Travitzky,SP
Rodada 1,18,Rafael Jonas Campestrini,SC
Rodada 1,19,Augusto Thomas,RS
Rodada 1,20,Vitor Augusto Dib Martinho,GO
Rodada 1,21,Regina Beretta,PR
Rodada 1,22,João Vitor Denardi Bosa,SP
Rodada 1,23,Joao Vitor Giordano,PR
Rodada 1,24,Emanuel Augusto Coutinho da Silva,SP
Rodada 1,25,Eduardo Abrahão,MG
Rodada 1,26,Wagner Willian,SP
Rodada 1,27,Kleber Takemoto,MS
Rodada 1,28,Dionathan Magayver Sperandio,RS
Rodada 1,29,Priscilla Laks,SP
Rodada 1,30,Davi Perilo Ribeiro,MG
Rodada 1,31,Leonardo Seixas,CE
Rodada 1,32,Mateus Bueno Rezeck Junqueira Meirelles,MG
Rodada 1,33,André Luiz Baldo,SC
Rodada 1,34,Bianca Claudino Ferreira,PR
Rodada 1,35,"Gabriel ""Gabe"" Sotero",RJ
Rodada 1,36,Caio Alves Aimi,RS
Rodada 1,37,Roberto Dragão,SP
Rodada 1,38,Denis Bertazzo Watashi,SC
Rodada 1,39,João Luiz de Barros Manetti,SP
Rodada 1,40,Vinicius da Silva Cantergiani,RJ
Rodada 1,41,Gilberto Come,SP
Rodada 1,42,Luma Moura e Silva,SP
Rodada 1,43,Daniel Gatta,SP
Rodada 1,44,Maria Letícia Alcântara Campos,DF
Rodada 1,45,Thiago da Silva Romeiro,MS
Rodada 1,46,Bruno Luis da Silva Maia,RJ
Rodada 1,47,Jonas Brito Santos,SE
Rodada 1,48,Miguel Machado Stanzis,SP
Rodada 1,49,Vinicius dos Santos Costa,MG
Rodada 1,50,José Magno de Almeida Junior,SP
Rodada 1,51,Felipe Rocha Carvalho,SP
Rodada 1,52,Gabriel Negri Nilson,SP
Rodada 1,53,Eduardo Schneider Nering,PR
Rodada 1,54,Luanvir Luna da Silva,MG
Rodada 1,55,Daniel Ramos Azevedo,SP
Rodada 1,56,Anderson Sales,MG
Rodada 1,57,Lucas Freire Lima,MG
Rodada 1,58,Gustavo Alves,RJ
Rodada 1,59,Wanderlei Hüttel,SC
Rodada 1,60,Leandro Machado,SP
Rodada 1,61,Adolfo Argemiro Réss Neto,PR
Rodada 1,62,Gustavo Schroeder Sapelli,SC
Rodada 1,63,Raphael Salezzi Dias,ES
Rodada 1,64,Ana Lettícia Silva Santiago,RJ
Rodada 1,65,Erick Jefferson de Oliveira Gallindo,BA
Rodada 1,66,Otávio Pereira do Nascimento Neto,BA
Rodada 1,67,Wellington Luíz Pereira,MG
Rodada 1,68,Yan Dutra,GO
Rodada 1,69,Warlen Ribeiro,SP
Rodada 1,70,Anônimo,
Rodada 1,71,Glesiton Rodrigues,SP
Rodada 1,72,Igor Sobrinho Dias Duque,MG
Rodada 1,73,Ted Jordão Duarte,SP
Rodada 1,74,Leonardo Brita Bornshlegell,PR
Rodada 1,75,Luciano Jesus da Silva,SP
Rodada 1,76,Felipe Gomes Felix,SP
Rodada 1,77,João Melo,PE
Rodada 1,78,Jean Marcos,RJ
Rodada 1,79,Miguel Pinto Filho,MG
Rodada 1,80,Gabriel Silva,GO
Rodada 1,81,Joao Paulo Eugenio da Silva,CE
Rodada 1,82,Alexandre Mussi França Filho,MG
Rodada 1,83,Euclides Pinheiro Pereira,DF
Rodada 1,84,Ricardo Bodra Guimarães,SP
Rodada 1,85,Gabriel Menezes,SP
Rodada 1,86,Taynan de Souza Carvalho,SP
Rodada 1,87,Kaick Carlos Xavier Cruz,SP
Rodada 1,88,Marco Aurelio Pinho Theodoro,SP
Rodada 1,89,Elton Macieira,CE
Rodada 1,90,Ismael Bezerra Fonseca,CE
Rodada 1,91,Rafael Carvalho Pereira,RJ
Rodada 1,92,Giovanni Iervolino Paschoal Vinha,SP
Rodada 1,93,André Terra Ennes,SP
Rodada 1,94,Leonardo Tadeu Serrano Zabeu,SP
Rodada 1,95,Priscila Meira,SP
Rodada 1,96,Wadson Nilton,MA
Rodada 1,97,Anônimo,
Rodada 1,98,Gustavo Alves Vicente,SP
Rodada 1,99,Bernardo Trotta,RJ
Rodada 1,100,Brunno Henrique Cavalcante Amaral,SP
Rodada 1,101,Gustavo Simonato,RS
Rodada 1,102,Sérgio Guilherme Roma Santoro,SP
Rodada 1,103,Sergio Filho,SP
Rodada 1,104,Atualpa Thersus Lourinho Parente,CE
Rodada 1,105,Gustavo Feliciano,SP
Rodada 1,106,Michel Araujo Pires Domingues,SP
Rodada 1,107,Plinio Ferreira Pires,GO
Rodada 1,108,Gustavo Kimura,SP
Rodada 1,109,Diego Fernando Elger,MT
Rodada 1,110,Sofia Vitti Quartarolo,SP
Rodada 1,111,Ralber Cassio Assis Crivano Pestana,RJ
Rodada 1,112,Lucas de Sousa Nobrega,PB
Rodada 1,113,Priscila Picolo Cachucho Hamada,SP
Rodada 1,114,Leandro Schaffner,PR
Rodada 1,115,Bruno Lau Balz,RS
Rodada 1,116,Pedro Henrique Sabater,PR
Rodada 1,117,Ana Beatriz Kindinger,PR
Rodada 1,118,Renio Isley de Araujo,CE
Rodada 1,119,Francisco Sávio da Silva,CE
Rodada 1,120,Edvaldo B D Junior,ES
Rodada 1,121,Cleber Goes Aguiar,PR
Rodada 1,122,Gustavo Guaitolini Pereira,ES
Rodada 1,123,Luciana Maria da Silva,MG
Rodada 1,124,Alvaro Patrik Corteze Soares,RO
Rodada 1,125,Milena Yuka Kushihara,SP
Rodada 1,126,Beatriz Gaston de Miranda,SP
Rodada 1,127,Fernanda Akemi,SP
Rodada 1,128,Paulo César Ferreira Filho,CE
Rodada 1,129,Tiago Pereira da Silva,SP
Rodada 1,130,Hugo Alexandre da Costa Rodrigues,DF
Rodada 1,131,Douglas Corrêa,SP
Rodada 1,132,Ryan César Rodrigues de Jesus,SP
Rodada 1,133,Heitor Oliveira,RJ
Rodada 1,134,Kleyton Teixeira da Silva,PI
Rodada 1,135,Beatriz Albuquerque Rodrigues,AM
Rodada 1,136,Cesar Sposato,SP
Rodada 1,137,Ana Cristina Mazzali,MT
Rodada 1,138,Cristian Goede,SC
Rodada 1,139,Rodrigo Passos,PR
Rodada 1,140,Andre Santos,SP
Rodada 1,141,Emanuel Francisco Nogueira de Queiroz,AM
Rodada 1,142,Ivan Bodra Guimarães,RJ
Rodada 1,143,Marcia Sales Ribeiro,MG
Rodada 1,144,Melissa Oliveira,SP
Rodada 1,145,Stephanie Costa,SP
Rodada 1,146,José Messias Barbosa de Sousa,CE
Rodada 1,147,Danillo Santana de Araújo,BA
Rodada 1,148,João Marcos de Nobrega Quintilhano,PR
Rodada 1,149,Pablo Vinícius Rodrigues Araújo,MG
Rodada 1,150,João Fhilipp Danillio Delmondes de Fonte,GO
Rodada 1,151,Priscila Câmara dos Santos,PR
Rodada 1,152,Geraldo Steffe Victor,SP
Rodada 1,153,Letícia Almeida,SP
Rodada 1,154,Iuri Barp,RS
Rodada 1,155,Lucas Moreira da Silva,PE
Rodada 1,156,Barnabe Pedro dos Santos,PE
Rodada 1,157,Guilherme Carvalho Moraes,MG
Rodada 1,158,Victor Gomes Horácio,SP
Rodada 1,159,Andrew William de Jesus Yu,ES
Rodada 1,160,Marcelo Ferreira Almeida,SP
Rodada 1,161,Boni Fba,SP
Rodada 1,162,Franciele Bueno,SP
Rodada 1,163,Leonardo Faustino dos Santos,SP
Rodada 1,164,Gabriel Antonio Tavares Rodrigues,RJ
Rodada 1,165,Dayana Moreno da Roza Vasconcellos,RJ
Rodada 1,166,Bruna Almeida Teixeira Carneiro,GO
